iter	Passed	Remaining
402	14446	57248
403	14481	57209
404	14517	57171
405	14553	57140
406	14589	57102
407	14625	57066
408	14661	57031
409	14698	56999
410	14737	56976
411	14774	56945
412	14808	56903
413	14844	56868
414	14881	56838
415	14916	56798
416	14951	56757
417	14985	56717
418	15020	56674
419	15056	56639
420	15091	56601
421	15126	56561
422	15161	56523
423	15197	56489
424	15232	56449
425	15267	56411
426	15302	56373
427	15336	56329
428	15372	56293
429	15412	56274
430	15449	56240
431	15488	56217
432	15523	56177
433	15557	56135
434	15591	56093
435	15631	56073
436	15666	56034
437	15702	55997
438	15737	55959
439	15772	55919
440	15806	55877
441	15841	55839
442	15877	55805
443	15912	55763
444	15948	55731
445	15984	55696
446	16018	55654
447	16054	55618
448	16090	55583
449	16125	55542
450	16160	55503
451	16193	55460
452	16228	55419
453	16277	55428
454	16317	55406
455	16351	55365
456	16386	55325
457	16421	55286
458	16454	55243
459	16494	55219
460	16530	55184
461	16566	55150
462	16603	55117
463	16644	55099
464	16681	55066
465	16717	55030
466	16753	54996
467	16803	55007
468	16841	54978
469	16889	54980
470	16936	54979
471	16977	54962
472	17022	54953
473	17073	54966
474	17124	54978
475	17172	54981
476	17217	54973
477	17262	54965
478	17306	54955
479	17353	54952
480	17398	54945
481	17445	54942
482	17490	54935
483	17536	54927
484	17581	54919
485	17625	54905
486	17673	54908
487	17720	54905
488	17768	54903
489	17814	54896
490	17859	54889
491	17904	54877
492	17951	54872
493	17995	54859
494	18040	54850
495	18082	54829
496	18118	54791
497	18153	54751
498	18189	54712
499	18224	54674
500	18259	54631
501	18308	54633
502	18344	54596
503	18378	54553
504	18417	54523
505	18451	54480
506	18487	54442
507	18525	54410
508	18559	54366
509	18593	54323
510	18630	54286
511	18665	54247
512	18700	54206
513	18738	54174
514	18773	54132
515	18807	54090
516	18845	54056
517	18880	54015
518	18913	53972
519	18949	53933
520	18984	53893
521	19019	53852
522	19055	53813
523	19089	53770
524	19127	53738
525	19164	53704
526	19198	53661
527	19233	53619
528	19268	53580
529	19303	53539
530	19337	53497
531	19380	53478
532	19420	53451
533	19459	53423
534	19498	53394
535	19538	53365
536	19576	53333
537	19616	53307
538	19652	53268
539	19687	53229
540	19722	53189
541	19759	53153
542	19787	53094
543	19823	53056
544	19860	53021
545	19895	52983
546	19930	52940
547	19967	52906
548	20001	52864
549	20037	52824
550	20071	52783
551	20108	52749
552	20150	52727
553	20185	52686
554	20218	52641
555	20255	52606
556	20289	52563
557	20327	52530
558	20381	52540
559	20417	52502
560	20457	52475
561	20491	52433
562	20527	52393
563	20560	52349
564	20597	52314
565	20643	52302
566	20682	52272
567	20719	52235
568	20754	52195
569	20789	52155
570	20824	52114
571	20859	52076
572	20892	52031
573	20927	51991
574	20962	51949
575	20996	51906
576	21032	51869
577	21065	51826
578	21105	51796
579	21147	51775
580	21185	51741
581	21231	51729
