iter	Passed	Remaining
401	16938	67333
402	16977	67277
403	17020	67238
404	17077	67256
405	17123	67229
406	17162	67173
407	17210	67153
408	17259	67138
409	17306	67114
410	17347	67068
411	17386	67013
412	17425	66960
413	17464	66906
414	17505	66857
415	17544	66804
416	17587	66765
417	17628	66720
418	17667	66664
419	17706	66609
420	17746	66561
421	17787	66513
422	17827	66463
423	17883	66472
424	17924	66426
425	17965	66379
426	18011	66351
427	18057	66323
428	18097	66273
429	18135	66217
430	18177	66171
431	18215	66117
432	18255	66066
433	18295	66015
434	18335	65966
435	18374	65911
436	18415	65865
437	18457	65823
438	18504	65797
439	18545	65751
440	18584	65698
441	18626	65657
442	18666	65605
443	18710	65570
444	18757	65546
445	18798	65499
446	18846	65476
447	18899	65472
448	18939	65423
449	18981	65379
450	19019	65325
451	19061	65282
452	19104	65243
453	19143	65190
454	19185	65146
455	19227	65104
456	19268	65058
457	19311	65019
458	19352	64972
459	19393	64924
460	19431	64869
461	19472	64823
462	19515	64784
463	19555	64734
464	19600	64701
465	19639	64651
466	19680	64604
467	19723	64564
468	19762	64510
469	19804	64470
470	19846	64426
471	19914	64469
472	19958	64432
473	20003	64398
474	20063	64414
475	20114	64399
476	20157	64359
477	20199	64317
478	20239	64268
479	20284	64232
480	20328	64196
481	20368	64149
482	20407	64096
483	20449	64051
484	20497	64027
485	20545	64002
486	20588	63963
487	20627	63910
488	20666	63859
489	20712	63827
490	20755	63788
491	20798	63748
492	20845	63721
493	20888	63679
494	20927	63627
495	20967	63578
496	21007	63530
497	21050	63490
498	21096	63458
499	21134	63404
500	21173	63352
501	21215	63308
502	21259	63272
503	21304	63237
504	21344	63188
505	21383	63136
506	21437	63128
507	21483	63097
508	21525	63054
509	21569	63015
510	21609	62966
511	21650	62922
512	21690	62873
513	21736	62842
514	21787	62825
515	21827	62774
516	21869	62732
517	21908	62681
518	21949	62634
519	21988	62581
520	22026	62527
521	22067	62482
522	22115	62457
523	22157	62412
524	22204	62383
525	22244	62334
526	22315	62373
527	22355	62323
528	22394	62271
529	22437	62232
530	22476	62181
531	22516	62133
532	22556	62084
533	22595	62033
534	22636	61984
535	22679	61944
536	22719	61895
537	22765	61865
538	22821	61858
539	22861	61810
540	22904	61769
541	22948	61733
542	22987	61681
543	23029	61636
544	23067	61584
545	23110	61542
546	23149	61491
547	23191	61449
548	23231	61401
549	23274	61359
550	23313	61309
551	23354	61263
552	23394	61214
553	23435	61169
554	23475	61122
555	23514	61070
556	23558	61031
557	23597	60982
558	23637	60933
559	23680	60893
560	23719	60842
561	23758	60792
562	23798	60743
563	23842	60706
564	23886	60667
565	23927	60622
566	23971	60584
567	24012	60537
568	24059	60507
569	24097	60456
570	24151	60442
571	24199	60413
572	24242	60373
573	24290	60345
574	24335	60310
575	24385	60285
576	24434	60259
577	24489	60248
578	24541	60231
579	24590	60203
580	24635	60167
581	24687	60149
582	24728	60104
583	24773	60066
584	24814	60022
585	24854	59974
586	24893	59923
587	24935	59879
588	24977	59835
589	25020	59795
590	25068	59764
591	25106	59713
592	25148	59669
593	25191	59629
594	25241	59603
595	25299	59597
596	25341	59553
597	25399	59548
598	25449	59523
599	25489	59474
600	25530	59429
601	25571	59383
602	25612	59338
603	25653	59292
604	25693	59243
605	25734	59198
606	25776	59153
607	25817	59107
608	25862	59070
609	25905	59030
610	25944	58979
611	25986	58935
612	26025	58885
613	26063	58833
614	26102	58784
615	26144	58740
616	26197	58720
617	26247	58694
618	26288	58649
619	26330	58606
620	26375	58569
621	26412	58515
622	26451	58465
623	26495	58425
624	26541	58390
625	26584	58351
626	26624	58301
627	26672	58271
628	26714	58227
629	26756	58184
630	26795	58135
631	26835	58087
632	26874	58037
633	26913	57986
634	26957	57948
635	26999	57905
636	27043	57865
637	27085	57822
638	27127	57777
639	27164	57725
640	27204	57676
641	27243	57627
642	27283	57580
643	27322	57530
644	27368	57494
645	27409	57449
646	27449	57402
647	27488	57352
648	27529	57308
649	27577	57276
650	27616	57227
651	27654	57175
652	27694	57128
653	27732	57076
654	27775	57035
655	27816	56989
656	27867	56964
657	27906	56916
658	27946	56869
659	27986	56822
660	28028	56778
661	28069	56732
662	28111	56688
663	28158	56655
664	28199	56610
665	28244	56573
666	28290	56538
667	28336	56503
668	28380	56463
669	28421	56418
670	28470	56388
671	28513	56348
672	28553	56301
673	28594	56255
674	28635	56210
675	28682	56176
676	28724	56134
677	28764	56085
678	28804	56039
679	28847	55997
680	28900	55976
681	28945	55937
682	28992	55904
683	29032	55858
684	29073	55811
685	29113	55765
686	29153	55718
687	29195	55675
688	29235	55628
689	29275	55580
690	29319	55542
691	29359	55495
692	29401	55451
693	29440	55402
694	29485	55364
695	29526	55318
696	29568	55276
697	29608	55228
698	29646	55179
699	29686	55131
700	29727	55086
701	29770	55045
702	29812	55001
703	29853	54957
704	29892	54909
705	29933	54863
706	29973	54816
707	30014	54772
708	30054	54726
709	30093	54676
710	30132	54628
711	30174	54585
712	30217	54544
713	30258	54498
714	30315	54482
715	30362	54449
716	30402	54401
717	30442	54355
718	30481	54307
719	30521	54259
720	30564	54218
721	30605	54174
722	30649	54134
723	30690	54090
724	30734	54050
725	30777	54009
726	30822	53972
727	30859	53919
728	30899	53873
729	30939	53825
730	30979	53780
731	31026	53745
732	31068	53701
733	31111	53660
734	31151	53614
735	31191	53567
736	31232	53523
737	31300	53523
738	31340	53477
739	31381	53434
740	31420	53385
741	31460	53339
742	31508	53306
743	31558	53276
744	31600	53233
745	31640	53186
746	31680	53139
747	31719	53092
748	31760	53047
749	31795	52992
750	31832	52941
751	31873	52895
752	31914	52851
753	31960	52816
754	32000	52768
755	32042	52725
756	32081	52678
757	32122	52633
758	32162	52587
759	32202	52541
760	32241	52492
761	32283	52450
762	32332	52418
763	32384	52391
764	32427	52349
765	32467	52304
766	32523	52284
767	32574	52254
768	32621	52219
769	32677	52198
770	32731	52175
771	32780	52143
772	32821	52098
773	32861	52051
774	32903	52008
775	32940	51957
776	32979	51909
777	33017	51860
778	33059	51817
779	33097	51767
780	33136	51720
781	33181	51681
782	33228	51646
783	33279	51616
784	33322	51575
785	33367	51537
786	33408	51493
787	33452	51451
788	33491	51404
789	33533	51360
790	33576	51319
791	33617	51275
792	33660	51233
793	33712	51205
794	33751	51157
795	33795	51117
796	33837	51074
797	33879	51031
798	33921	50987
799	33970	50956
800	34018	50922
801	34058	50875
802	34114	50853
803	34162	50818
804	34204	50775
805	34246	50732
806	34286	50686
807	34327	50641
808	34371	50600
809	34415	50561
810	34459	50521
811	34507	50486
812	34554	50450
813	34595	50405
814	34634	50357
815	34673	50310
816	34712	50262
817	34751	50215
818	34792	50171
819	34832	50124
820	34873	50079
821	34926	50052
822	34968	50008
823	35011	49968
824	35055	49926
825	35096	49882
826	35143	49846
827	35189	49809
828	35227	49760
829	35270	49718
830	35310	49672
831	35351	49628
832	35391	49582
833	35431	49536
834	35475	49496
835	35516	49451
836	35563	49415
837	35605	49372
838	35647	49329
839	35687	49282
840	35729	49239
841	35769	49194
842	35809	49147
843	35852	49106
844	35891	49058
845	35929	49009
846	35975	48972
847	36019	48932
848	36061	48889
849	36102	48844
850	36141	48796
851	36181	48752
852	36221	48706
853	36260	48658
854	36301	48614
855	36342	48570
856	36412	48564
857	36468	48539
858	36518	48506
859	36572	48480
860	36618	48441
861	36664	48403
862	36704	48357
863	36744	48312
864	36788	48272
865	36832	48231
866	36872	48184
867	36918	48147
868	36969	48116
869	37011	48071
870	37053	48029
871	37098	47989
872	37148	47957
873	37192	47915
874	37233	47871
875	37282	47837
876	37326	47796
877	37369	47755
878	37416	47717
879	37461	47678
880	37506	47639
881	37561	47611
882	37620	47590
883	37680	47568
884	37752	47563
885	37828	47562
886	37896	47551
887	37962	47538
888	38019	47513
889	38071	47483
890	38125	47454
891	38180	47426
892	38227	47388
893	38292	47372
894	38349	47347
895	38413	47330
896	38485	47323
897	38548	47306
898	38599	47271
899	38645	47233
900	38701	47205
901	38752	47173
902	38805	47141
903	38865	47120
904	38928	47101
905	38989	47080
906	39055	47064
907	39119	47047
908	39195	47043
909	39265	47032
910	39333	47019
911	39402	47005
912	39470	46992
913	39534	46974
914	39601	46959
915	39668	46944
916	39737	46930
917	39798	46908
918	39858	46884
919	39907	46847
920	39949	46802
921	39993	46760
922	40039	46720
923	40078	46672
924	40121	46628
925	40161	46580
926	40205	46537
927	40245	46490
928	40286	46444
929	40329	46400
930	40372	46356
931	40411	46308
932	40452	46261
933	40491	46214
934	40546	46183
935	40600	46152
936	40657	46125
937	40699	46080
938	40739	46032
939	40796	46004
940	40839	45960
941	40879	45913
942	40918	45865
943	40960	45820
944	41001	45773
945	41039	45724
946	41084	45683
947	41128	45640
948	41167	45591
949	41207	45545
950	41246	45497
951	41289	45452
952	41328	45405
953	41369	45359
954	41415	45318
955	41465	45282
956	41506	45236
957	41545	45188
958	41598	45155
959	41642	45112
960	41687	45071
961	41737	45035
962	41788	44999
963	41831	44955
964	41872	44909
965	41913	44864
966	41950	44814
967	41990	44766
968	42029	44718
969	42067	44670
970	42108	44623
971	42147	44576
972	42187	44529
