address,population,households,latitude,longitude
宮崎県宮崎市稗原町,616,313,31.9082055,131.4511746
宮崎県宮崎市紙屋瀬越（大字浦之名）,65,35,,
宮崎県宮崎市老松一丁目,741,395,31.9118477,131.430801
宮崎県宮崎市老松二丁目,727,370,31.9135979,131.431189
宮崎県宮崎市船塚一丁目,421,237,31.926349,131.418612
宮崎県宮崎市船塚三丁目,744,323,31.933422,131.4187428
宮崎県宮崎市船塚二丁目,777,385,31.9292729,131.418795
宮崎県宮崎市船引庵屋,259,97,,
宮崎県宮崎市船引正手,610,275,,
宮崎県宮崎市船引船引,424,173,34.0951061,133.6500306
宮崎県宮崎市船引西新町,967,588,,
宮崎県宮崎市船引黒北,428,166,,
宮崎県宮崎市花ケ島町,4623,2166,31.948854,131.432017
宮崎県宮崎市花山手東一丁目,786,325,31.904282,131.406882
宮崎県宮崎市花山手東三丁目,719,298,31.900014,131.401701
宮崎県宮崎市花山手東二丁目,875,342,31.9041838,131.4036476
宮崎県宮崎市花山手西一丁目,768,304,31.9038657,131.4001947
宮崎県宮崎市花山手西二丁目,1002,374,31.9002966,131.396194
宮崎県宮崎市花殿町,409,218,31.9243235,131.4190655
宮崎県宮崎市花見中山（東高岡）,401,164,,
宮崎県宮崎市花見城ケ峯（東高岡）,137,56,,
宮崎県宮崎市花見宮水流（穆佐）,36,4,,
宮崎県宮崎市花見小山田（穆佐）,40,14,,
宮崎県宮崎市花見粟野（東高岡）,69,28,,
宮崎県宮崎市花見花見（東高岡）,450,180,,
宮崎県宮崎市薫る坂一丁目,461,147,31.8935419,131.3993456
宮崎県宮崎市薫る坂二丁目,599,226,31.8901414,131.4010683
宮崎県宮崎市西上那珂,1133,433,32.028495,131.399456
宮崎県宮崎市西新町,281,138,37.0026899,119.4303222
宮崎県宮崎市西池町,655,331,31.921443,131.419227
宮崎県宮崎市西高松町,245,149,31.9162541,131.4134404
宮崎県宮崎市谷川一丁目,284,141,31.903966,131.415118
宮崎県宮崎市谷川三丁目,148,63,31.904217,131.41129
宮崎県宮崎市谷川二丁目,471,276,31.9050617,131.4126625
宮崎県宮崎市谷川町三丁目,6,3,31.9055322,131.4096007
宮崎県宮崎市錦本町,333,197,31.921673,131.429731
宮崎県宮崎市錦町,516,304,31.9165805,131.4313835
宮崎県宮崎市阿波岐原町,3768,1452,31.9375321,131.457628
宮崎県宮崎市霧島一丁目,511,242,31.9267484,131.4137195
宮崎県宮崎市霧島三丁目,581,328,31.932212,131.414228
宮崎県宮崎市霧島二丁目,1062,471,31.929402,131.414031
宮崎県宮崎市霧島五丁目,276,169,31.937552,131.414524
宮崎県宮崎市霧島四丁目,690,383,31.934636,131.414399
宮崎県宮崎市青島一丁目,336,158,31.803978,131.464137
宮崎県宮崎市青島三丁目,410,196,31.796047,131.470438
宮崎県宮崎市青島二丁目,346,174,31.8011451,131.4680352
宮崎県宮崎市青島五丁目,202,92,31.7915452,131.4689327
宮崎県宮崎市青島六丁目,238,106,31.7922878,131.4723556
宮崎県宮崎市青島四丁目,345,146,31.7960821,131.468544
宮崎県宮崎市青島西一丁目,305,117,31.803409,131.459862
宮崎県宮崎市青島西二丁目,329,153,31.8003339,131.4653782
宮崎県宮崎市青葉町,627,391,31.920869,131.436667
宮崎県宮崎市飯田丸山（中央）,179,89,,
宮崎県宮崎市飯田井上（中央）,572,209,,
宮崎県宮崎市飯田東区（中央）,40,24,,
宮崎県宮崎市飯田板ケ八重（大字内山）,44,24,,
宮崎県宮崎市飯田町（中央）,6,5,,
宮崎県宮崎市飯田飯田（中央）,998,355,35.5187619,137.8249136
宮崎県宮崎市高千穂通一丁目,394,257,31.917886,131.4269217
宮崎県宮崎市高千穂通二丁目,717,421,31.917581,131.429077
宮崎県宮崎市高松町,468,184,31.914249,131.419182
宮崎県宮崎市高洲町,1944,924,31.8993706,131.4463091
宮崎県宮崎市高浜栗野（東高岡）,159,76,,
宮崎県宮崎市高浜楠見（中央）,53,25,,
宮崎県宮崎市高浜粟野（東高岡）,178,74,,
宮崎県宮崎市高浜花見（東高岡）,2,1,,
宮崎県宮崎市高浜高浜（中央）,480,185,35.4848715,135.5439944
宮崎県宮崎市鶴島一丁目,452,299,31.90851,131.415571
宮崎県宮崎市鶴島三丁目,1690,926,31.9123994,131.4081015
宮崎県宮崎市鶴島二丁目,605,328,31.9103586,131.4115282
