日付,曜日,台売上合計,台売上,台粗利合計,台粗利,打込,総打込,利益率,有効S,入賞S1,BA,MY,出玉率,客滞率,玉単価,玉利,割数,勝率,景品額平均,台数,元ファイル
2023/3/14,火,7237703,10052,1530781,2126,10161,7315920,21.15%,5.66,5.91,84.32,4552,96.56%,172.41%,0.989,0.209,8.89,34.72%,8936,720,202303.csv
2023/3/15,水,8273706,11491,1819582,2527,11089,7984262,21.99%,5.63,5.89,85.91,4878,95.29%,171.74%,1.036,0.228,8.5,35.42%,9773,720,202303.csv
2023/3/16,木,5989144,8318,1353748,1880,8465,6094915,22.60%,5.54,5.77,83.63,3692,91.94%,167.43%,0.983,0.222,7.47,29.44%,6213,720,202303.csv
2023/3/17,金,7128593,9901,1155223,1604,9987,7190475,16.21%,5.54,5.75,84.25,4418,97.00%,173.11%,0.991,0.161,9.03,32.50%,8939,720,202303.csv
2023/3/18,土,8836602,12273,1218115,1692,12167,8760298,13.78%,5.55,5.77,83.95,5602,98.42%,171.21%,1.009,0.139,9.5,38.47%,11654,720,202303.csv
2023/3/19,日,9515521,13216,2394966,3326,13243,9534760,25.17%,5.6,5.83,86.08,5618,94.71%,175.59%,0.998,0.251,8.3,34.44%,10963,720,202303.csv
2023/3/20,月,13900488,19306,2652025,3683,16875,12149824,19.08%,5.53,5.77,83.98,7059,94.87%,163.42%,1.144,0.218,8.47,35.83%,16352,720,202303.csv
2023/3/21,火,8046655,11176,2441014,3390,10191,7337522,30.34%,5.53,5.77,84.03,4630,93.83%,173.74%,1.097,0.333,7.99,32.64%,8926,720,202303.csv
2023/3/23,木,8163931,11339,1832168,2545,11262,8108545,22.44%,5.68,5.9,85.26,4788,95.69%,171.46%,1.007,0.226,8.61,32.64%,9766,720,202303.csv
2023/3/24,金,7034186,9770,1496245,2078,9731,7006452,21.27%,5.61,5.8,84.26,4311,95.11%,172.43%,1.004,0.214,8.44,31.25%,8245,720,202303.csv
2023/3/25,土,9328939,12957,1764757,2451,12495,8996156,18.92%,5.62,5.86,84.71,5404,97.00%,175.16%,1.037,0.196,9.01,34.17%,11674,720,202303.csv
2023/3/26,日,10055805,13966,1243431,1727,13604,9794977,12.37%,5.62,5.86,84.09,5722,98.51%,182.53%,1.027,0.127,9.48,38.75%,13243,720,202303.csv
2023/3/27,月,7733310,10741,2092451,2906,10217,7356302,27.06%,5.62,5.83,84.74,4555,92.80%,168.14%,1.051,0.284,7.79,29.86%,8367,720,202303.csv
2023/3/28,火,7020202,9750,1840452,2556,9334,6720673,26.22%,5.62,5.84,85.5,4153,94.74%,167.48%,1.045,0.274,8.35,30.56%,8144,720,202303.csv
2023/3/29,水,5971871,8294,569422,791,8685,6252909,9.54%,5.6,5.81,86.15,4034,97.45%,172.09%,0.955,0.091,9.17,34.17%,7610,720,202303.csv
2023/3/30,木,7186486,9981,1439984,2000,9110,6559170,20.04%,5.57,5.84,85.56,4256,96.18%,167.52%,1.096,0.22,8.81,31.25%,8790,720,202303.csv
2023/3/31,金,6656940,9246,1316014,1828,9225,6642294,19.77%,5.54,5.73,85.03,4181,94.95%,171.78%,1.002,0.198,8.4,31.11%,7762,720,202303.csv
2023/4/1,土,9704392,13478,2212922,3074,12534,9024231,22.80%,5.5,5.73,84.71,5763,96.22%,166.13%,1.075,0.245,8.84,36.67%,11910,720,202304.csv
2023/4/2,日,8747955,12150,1588783,2207,12043,8671136,18.16%,5.54,5.73,85.66,5465,95.77%,172.61%,1.009,0.183,8.64,35.42%,10498,720,202304.csv
2023/4/4,火,12491752,17350,1940254,2695,15594,11227453,15.53%,5.61,5.83,84.71,6377,97.28%,168.34%,1.113,0.173,9.14,38.47%,15866,720,202304.csv
2023/4/5,水,7681294,10668,1087748,1511,10937,7874737,14.16%,5.6,5.79,84.52,4821,99.18%,177.46%,0.975,0.138,9.72,36.11%,10373,720,202304.csv
2023/4/6,木,7861214,10918,1882268,2614,10987,7910387,23.94%,5.58,5.77,84.64,4691,93.42%,170.76%,0.994,0.238,7.9,31.39%,8624,720,202304.csv
2023/4/7,金,7147597,9927,1898755,2637,10591,7625170,26.56%,5.57,5.74,84.67,4422,94.31%,169.32%,0.937,0.249,8.19,30.42%,8132,720,202304.csv
2023/4/8,土,9199744,12777,1639547,2277,13131,9454014,17.82%,5.58,5.83,86.02,5744,98.54%,179.13%,0.973,0.173,9.51,35.56%,12154,720,202304.csv
2023/4/9,日,8820262,12250,1669707,2319,13684,9852383,18.93%,5.6,5.8,84.99,5613,96.91%,175.60%,0.895,0.169,8.98,38.19%,11002,720,202304.csv
2023/4/10,月,7490183,10403,1861197,2585,10358,7457825,24.85%,5.55,5.73,84.48,4397,95.66%,177.42%,1.004,0.25,8.54,31.67%,8884,720,202304.csv
2023/4/11,火,6678785,9276,982210,1364,9554,6879012,14.71%,5.56,5.76,85.17,4361,95.89%,169.64%,0.971,0.143,8.69,32.92%,8057,720,202304.csv
2023/4/12,水,6443032,8949,625369,869,9185,6613265,9.71%,5.5,5.67,85.82,4395,97.42%,174.01%,0.974,0.095,9.17,33.89%,8206,720,202304.csv
2023/4/13,木,6432567,8934,1860665,2584,9208,6629940,28.93%,5.49,5.66,84.45,4001,95.95%,174.71%,0.97,0.281,8.68,30.28%,7758,720,202304.csv
2023/4/14,金,7601541,10558,1560354,2167,10494,7555570,20.53%,5.5,5.71,83.99,4469,95.14%,165.53%,1.006,0.207,8.47,32.22%,8948,720,202304.csv
2023/4/15,土,10185916,14147,2260118,3139,14026,10098502,22.19%,5.61,5.84,84.37,6014,93.83%,168.55%,1.009,0.224,8.08,32.50%,11434,720,202304.csv
2023/4/16,日,9817086,13635,1619982,2250,14097,10149715,16.50%,5.55,5.73,84.09,5791,97.43%,180.75%,0.967,0.16,9.13,39.31%,12446,720,202304.csv
2023/4/18,火,9376766,13023,1210784,1682,13215,9514960,12.91%,5.6,5.82,85.35,5416,95.54%,170.68%,0.985,0.127,8.58,34.31%,11175,720,202304.csv
2023/4/19,水,8644579,12006,973588,1352,11017,7932332,11.26%,5.51,5.71,84.42,5152,99.31%,170.94%,1.09,0.123,9.78,35.28%,11740,720,202304.csv
2023/4/20,木,8607716,11955,1686503,2342,11139,8020038,19.59%,5.5,5.68,85.58,4840,96.10%,171.24%,1.073,0.21,8.76,32.92%,10476,720,202304.csv
2023/4/21,金,7792605,10823,1315070,1826,10118,7285082,16.88%,5.51,5.71,84.23,4572,97.55%,168.52%,1.07,0.181,9.23,34.31%,9991,720,202304.csv
2023/4/22,土,10214544,14187,2944129,4089,13448,9682359,28.82%,5.52,5.71,85.72,5272,94.01%,178.37%,1.055,0.304,8,33.19%,11353,720,202304.csv
2023/4/23,日,10868628,15095,2511874,3489,14336,10321762,23.11%,5.51,5.71,85.39,5872,94.58%,170.28%,1.053,0.243,8.29,32.08%,12516,720,202304.csv
2023/4/24,月,14049617,19513,3220989,4474,16846,12128854,22.93%,5.46,5.66,85.07,7046,95.54%,168.35%,1.158,0.266,8.63,37.36%,16838,720,202304.csv
2023/4/25,火,10746204,14925,1870746,2598,12963,9333160,17.41%,5.48,5.67,85.37,5682,95.94%,169.31%,1.151,0.2,8.73,34.58%,13037,720,202304.csv
2023/4/26,水,7864712,10923,1695647,2355,10535,7585335,21.56%,5.53,5.7,85.03,4653,95.28%,169.72%,1.037,0.224,8.52,31.94%,9305,720,202304.csv
2023/4/27,木,6785576,9424,1384628,1923,9531,6862103,20.41%,5.54,5.7,84.73,4307,95.64%,168.97%,0.989,0.202,8.62,31.11%,8127,720,202304.csv
2023/4/28,金,8075905,11217,2005371,2785,9970,7178413,24.83%,5.53,5.71,84.96,4478,93.39%,164.02%,1.125,0.279,7.99,29.72%,8966,720,202304.csv
2023/4/29,土,9656437,13412,1130066,1570,13366,9623274,11.70%,5.49,5.68,84.71,5767,94.96%,168.00%,1.003,0.117,8.43,36.67%,11300,720,202304.csv
