日付,曜日,台売上合計,台売上,台粗利合計,台粗利,打込,総打込,利益率,有効S,入賞S1,BA,MY,出玉率,客滞率,玉単価,玉利,割数,勝率,景品額平均,台数,元ファイル
2025/5/5,月,8374916,11632,1402271,1948,11903,8570237,16.74%,5.61,5.85,83.96,5520,95.91%,170.74%,0.977,0.164,8.73,31.81%,10159,720,202505.csv
2025/5/6,火,9439222,13110,1830281,2542,12677,9127612,19.39%,5.59,5.84,84.02,5722,94.33%,169.68%,1.034,0.201,8.27,33.19%,10840,720,202505.csv
2025/5/8,木,9590313,13338,3046163,4237,11785,8473064,31.76%,5.71,5.97,84.47,5286,93.04%,162.99%,1.132,0.36,7.98,29.90%,10643,719,202505.csv
2025/5/9,金,6230065,8665,1109831,1544,8553,6149594,17.81%,5.74,5.99,84.17,4174,93.27%,167.29%,1.013,0.18,8.01,28.37%,6939,719,202505.csv
2025/5/10,土,9515535,13234,1292518,1798,12863,9248578,13.58%,5.68,5.93,84.1,5932,96.38%,169.96%,1.029,0.14,8.9,33.94%,11773,719,202505.csv
2025/5/11,日,9391898,13062,1914163,2662,11951,8592757,20.38%,5.64,5.91,86.8,5706,95.80%,168.06%,1.093,0.223,8.74,33.94%,11411,719,202505.csv
2025/5/12,月,11513616,16013,1057651,1471,15264,10974676,9.19%,5.65,5.94,84.64,6916,96.96%,167.05%,1.049,0.096,9.1,36.02%,14574,719,202505.csv
2025/5/13,火,6339920,8818,1434005,1994,9330,6708545,22.62%,5.71,5.92,83.84,4649,98.78%,169.79%,0.945,0.214,9.62,28.65%,8483,719,202505.csv
2025/5/14,水,6312690,8780,2053969,2857,8929,6419959,32.54%,5.64,5.85,84.33,4199,92.03%,163.78%,0.983,0.32,7.68,27.54%,6744,719,202505.csv
2025/5/15,木,7101332,9877,1739828,2420,9757,7015345,24.50%,5.76,5.99,84.08,4508,94.99%,169.92%,1.012,0.248,8.47,29.49%,8362,719,202505.csv
2025/5/16,金,6634003,9227,2056639,2860,9084,6531109,31.00%,5.66,5.92,84.13,4253,92.64%,163.53%,1.016,0.315,7.85,26.98%,7246,719,202505.csv
2025/5/17,土,8378233,11653,1359009,1890,11466,8244089,16.22%,5.67,5.89,84.29,5486,95.98%,172.21%,1.016,0.165,8.75,33.94%,10201,719,202505.csv
2025/5/18,日,9019496,12527,2411706,3350,11828,8516133,26.74%,5.68,5.96,84.48,5537,94.76%,167.94%,1.059,0.283,8.42,33.75%,10542,720,202505.csv
2025/5/19,月,6340237,8806,977582,1358,9031,6502034,15.42%,5.69,5.94,83.8,4291,94.41%,168.34%,0.975,0.15,8.3,31.11%,7312,720,202505.csv
2025/5/20,火,5872265,8156,1080812,1501,8235,5928964,18.41%,5.63,5.88,83.8,4296,96.11%,156.70%,0.99,0.182,8.91,30.14%,7263,720,202505.csv
2025/5/21,水,5851969,8128,1225224,1702,7862,5660479,20.94%,5.6,5.83,84.24,3950,95.38%,169.93%,1.034,0.216,8.59,28.61%,6981,720,202505.csv
2025/5/22,木,6957775,9664,1936737,2690,8695,6260102,27.84%,5.7,5.93,83.74,4421,97.00%,168.56%,1.111,0.309,9.08,30.00%,8775,720,202505.csv
2025/5/23,金,7303060,10143,1862330,2587,9742,7014022,25.50%,5.69,5.9,83.97,4636,93.94%,167.58%,1.041,0.266,8.2,29.72%,8317,720,202505.csv
2025/5/24,土,10805683,15008,3077556,4274,13003,9361958,28.48%,5.63,5.85,84.22,6203,94.71%,162.76%,1.154,0.329,8.47,31.11%,12708,720,202505.csv
2025/5/25,日,10126079,14064,1436849,1996,12915,9299105,14.19%,5.61,5.84,84.5,6448,98.32%,168.51%,1.089,0.155,9.5,32.92%,13354,720,202505.csv
2025/5/26,月,6673702,9269,2458818,3415,8985,6469501,36.84%,5.64,5.88,83.99,4277,90.45%,165.02%,1.032,0.38,7.23,27.08%,6701,720,202505.csv
2025/5/27,火,6294587,8742,1926129,2675,7943,5719222,30.60%,5.65,5.88,84.21,4089,93.10%,157.11%,1.101,0.337,8.09,25.42%,7071,720,202505.csv
2025/5/28,水,5574516,7742,1479101,2054,7643,5502848,26.53%,5.63,5.85,83.47,3701,92.19%,164.53%,1.013,0.269,7.69,28.19%,5957,720,202505.csv
2025/5/29,木,6062209,8420,1545685,2147,7964,5734146,25.50%,5.68,5.89,84.18,4179,93.42%,163.82%,1.057,0.27,8.11,27.22%,6827,720,202505.csv
2025/5/30,金,6162758,8559,1188516,1651,8538,6147639,19.29%,5.64,5.87,84.5,4175,94.31%,159.99%,1.002,0.193,8.37,28.19%,7168,720,202505.csv
2025/5/31,土,8172477,11351,1540549,2140,11349,8171187,18.85%,5.67,5.9,83.92,5437,97.64%,172.74%,1,0.189,9.26,34.44%,10507,720,202505.csv
