name,share_morning,share_noon,share_evening
ＥＶＯ３７宮崎,0.0017905179493281516,0.0017905179493281516,0.0017905179493281516
オーシャン,0.002641576757658832,0.0026415767576588325,0.002641576757658832
Ｓｕｐｅｒ　Ｄ’ｓｔａｔｉｏｎ３９日向店,0.002675471333097832,0.002675471333097832,0.002675471333097832
Ｓｕｐｅｒ　Ｄ’ｓｔａｔｉｏｎ３９都城駅前店,0.0025836895909775288,0.0025836895909775288,0.0025836895909775288
シルバーバック都城店,0.002581617313963327,0.002581617313963328,0.002581617313963327
ワンダーランド１１８８宮崎芳士店,0.002946685995411899,0.0029466859954118984,0.002946685995411899
マルハン宮崎店,0.0027972317645666017,0.0027972317645666013,0.0027972317645666017
モナコパレスゴールド,0.0042213722555436515,0.0042213722555436515,0.0042213722555436515
シルバーバック日向店,0.0026754262813323383,0.0026754262813323388,0.0026754262813323388
ＡＳＴＹ都城店,0.002588883859652158,0.002588883859652158,0.002588883859652158
西の丸古川店,0.0026677797886283327,0.0026677797886283327,0.002667779788628333
パーラーオーシャン谷頭駅前店,0.0025899965548325126,0.0025899965548325126,0.0025899965548325126
マルハン南宮崎店,0.001857212780722588,0.0018572127807225882,0.0018572127807225882
ワンダーランド１１８８宮崎芳士店,0.002946685995411899,0.0029466859954118984,0.002946685995411899
西の丸センター,0.002668352156569172,0.0026683521565691714,0.002668352156569171
ＣＯＲＥ２１日南店,0.0025452585996525896,0.002545258599652591,0.0025452585996525905
モナコパレス西都本店,0.002680528363568975,0.0026805283635689754,0.002680528363568976
シリウス延岡店,0.0026685640476091666,0.0026685640476091666,0.0026685640476091675
モナコパレス大橋店,0.002674645482938404,0.0026746454829384035,0.0026746454829384043
サンダイスケ中村店,0.003995831991451721,0.003995831991451721,0.003995831991451722
ＣＯＲＥ２１南延岡店,0.0026694313334447353,0.0026694313334447353,0.0026694313334447353
Ｓｕｐｅｒ　Ｄ’ｓｔａｔｉｏｎ３９大淀店,0.0022813383921343887,0.0022813383921343887,0.0022813383921343887
ワシントン日南店,0.0025388912532899426,0.0025388912532899434,0.0025388912532899434
ＢＥＡＭ　ＫＵＳＨＩＭＡ,0.0025894091346221984,0.0025894091346221984,0.0025894091346221984
Ｓｕｐｅｒ　Ｄ’ｓｔａｔｉｏｎ３９大淀店,0.0022813383921343887,0.0022813383921343887,0.0022813383921343887
ワシントン西都店,0.002686658636874207,0.002686658636874208,0.0026866586368742076
マルハン南宮崎店,0.001857212780722588,0.0018572127807225882,0.0018572127807225882
モナコパレス１０００宮崎駅前店,0.002324594841139201,0.0023245948411392014,0.0023245948411392014
Ｓｕｐｅｒ　Ｄ’ｓｔａｔｉｏｎ３９延岡店,0.002668711518957393,0.002668711518957393,0.0026687115189573934
ダイナム日向店,0.0026742658444204354,0.002674265844420436,0.002674265844420436
モナコパレス清武店,0.0015049766061362622,0.0015049766061362622,0.0015049766061362624
